id,name,sex,name_length,first_letter,cluster
431,NATAN,boy,5,N,3
432,SANTIAGO,boy,8,S,1
433,HADLEY,boy,6,H,2
434,JADEN,boy,5,J,3
435,SEAN,boy,4,S,0
436,ASHLEY,boy,6,A,2
437,HASHIM,boy,6,H,2
438,MARCO,boy,5,M,3
439,ORION,boy,5,O,3
440,HARI,boy,4,H,0
441,KASPER,boy,6,K,2
442,MIKOLAJ,boy,7,M,2
443,MONTGOMERY,boy,10,M,1
444,ZANE,boy,4,Z,0
445,DAWID,boy,5,D,3
446,BENTLEY,boy,7,B,2
447,CLARK,boy,5,C,3
448,YAQUB,boy,5,Y,3
449,AVERY,boy,5,A,3
450,BRIAN,boy,5,B,3
451,KOBE,boy,4,K,0
452,LENNIE,boy,6,L,2
453,MILLER,boy,6,M,2
454,AMARI,boy,5,A,3
455,JOSH,boy,4,J,0
456,MARIO,boy,5,M,3
457,WIKTOR,boy,6,W,2
458,GEORGIE,boy,7,G,2
459,REGAN,boy,5,R,3
460,ASTON,boy,5,A,3
461,FOX,boy,3,F,0
462,LOKI,boy,4,L,0
463,STEPHEN,boy,7,S,2
464,SULAIMAN,boy,8,S,1
465,ARI,boy,3,A,0
466,LAWSON,boy,6,L,2
467,ODIN,boy,4,O,0
468,RAHEEM,boy,6,R,2
469,RUDI,boy,4,R,0
470,ZAKARIA,boy,7,Z,2
471,ALISTAIR,boy,8,A,1
472,ATTICUS,boy,7,A,2
473,AYDIN,boy,5,A,3
474,KIAAN,boy,5,K,3
475,CAIDEN,boy,6,C,2
476,DIEGO,boy,5,D,3
477,EUAN,boy,4,E,0
478,HAIDER,boy,6,H,2
479,LUIS,boy,4,L,0
480,MAXIM,boy,5,M,3
481,JAC,boy,3,J,0
482,LUCIAN,boy,6,L,2
483,RYDER,boy,5,R,3
484,TROY,boy,4,T,0
485,MACSEN,boy,6,M,2
486,ACE,boy,3,A,0
487,JAKOB,boy,5,J,3
488,LAWRENCE,boy,8,L,1
489,MAKSYMILIAN,boy,11,M,4
490,KHALID,boy,6,K,2
491,LAITH,boy,5,L,3
492,AAYAN,boy,5,A,3
493,BARNEY,boy,6,B,2
494,JETT,boy,4,J,0
495,NED,boy,3,N,0
496,RARES,boy,5,R,3
497,ALBI,boy,4,A,0
498,HUGHIE,boy,6,H,2
499,IGOR,boy,4,I,0
500,JAGO,boy,4,J,0
501,YASEEN,boy,6,Y,2
502,KYLO,boy,4,K,0
503,RICO,boy,4,R,0
504,ABRAHAM,boy,7,A,2
505,ANAS,boy,4,A,0
506,BENEDICT,boy,8,B,1
507,MATIAS,boy,6,M,2
508,REMI,boy,4,R,0
509,SULLIVAN,boy,8,S,1
510,ZAYYAN,boy,6,Z,2
511,ANGELO,boy,6,A,2
512,DAWSON,boy,6,D,2
513,FARIS,boy,5,F,3
514,HENRI,boy,5,H,3
515,JUSTIN,boy,6,J,2
516,KILLIAN,boy,7,K,2
517,MOSES,boy,5,M,3
518,REIGN,boy,5,R,3
519,YOUSEF,boy,6,Y,2
520,ANDRE,boy,5,A,3
521,BRAYDEN,boy,7,B,2
522,CAYDEN,boy,6,C,2
523,HEATH,boy,5,H,3
524,ISRAEL,boy,6,I,2
525,KENZO,boy,5,K,3
526,NIKOLAS,boy,7,N,2
527,PRINCE,boy,6,P,2
528,RAY,boy,3,R,0
529,TEODOR,boy,6,T,2
530,TOMOS,boy,5,T,3
531,DALTON,boy,6,D,2
532,HENLEY,boy,6,H,2
533,REID,boy,4,R,0
534,CALVIN,boy,6,C,2
535,ARMAAN,boy,6,A,2
536,CASPIAN,boy,7,C,2
537,DILLON,boy,6,D,2
538,KARTER,boy,6,K,2
539,KRISTIAN,boy,8,K,1
540,NOLAN,boy,5,N,3
541,BRUCE,boy,5,B,3
542,DANIYAL,boy,7,D,2
543,ORSON,boy,5,O,3
544,MATTHIAS,boy,8,M,1
545,AARIZ,boy,5,A,3
546,KADE,boy,4,K,0
547,RALPHY,boy,6,R,2
548,SAMSON,boy,6,S,2
549,AARYAN,boy,6,A,2
550,ANDREAS,boy,7,A,2
551,DANTE,boy,5,D,3
552,IDREES,boy,6,I,2
553,LEONIDAS,boy,8,L,1
554,MD,boy,2,M,0
555,MIGUEL,boy,6,M,2
556,RAYMOND,boy,7,R,2
557,KAYSON,boy,6,K,2
558,KYRON,boy,5,K,3
559,OLIWIER,boy,7,O,2
560,RAIFE,boy,5,R,3
561,RUAIRI,boy,6,R,2
562,SCOTT,boy,5,S,3
563,YASIN,boy,5,Y,3
564,AJAY,boy,4,A,0
565,AMAAN,boy,5,A,3
566,ATLAS,boy,5,A,3
567,EDWIN,boy,5,E,3
568,MICHAL,boy,6,M,2
569,OMARI,boy,5,O,3
570,RONALD,boy,6,R,2
571,ZIDAN,boy,5,Z,3
572,AYUB,boy,4,A,0
573,CADEN,boy,5,C,3
574,EMMETT,boy,6,E,2
575,FRED,boy,4,F,0
576,ROME,boy,4,R,0
577,STEVEN,boy,6,S,2
578,THIAGO,boy,6,T,2
579,YUVRAJ,boy,6,Y,2
580,BRYAN,boy,5,B,3
581,CRISTIAN,boy,8,C,1
582,ESA,boy,3,E,0
583,FRANKY,boy,6,F,2
584,FERGUS,boy,6,F,2
585,KRISH,boy,5,K,3
586,MATHIAS,boy,7,M,2
587,MIKEY,boy,5,M,3
588,WILBUR,boy,6,W,2
589,YOUSUF,boy,6,Y,2
590,CAELAN,boy,6,C,2
591,CAI,boy,3,C,0
592,IAN,boy,3,I,0
593,MIKAIL,boy,6,M,2
594,STANISLAW,boy,9,S,1
595,VINNY,boy,5,V,3
596,ALESSANDRO,boy,10,A,1
597,DEEN,boy,4,D,0
598,DENIZ,boy,5,D,3
599,HAROON,boy,6,H,2
600,KHALIL,boy,6,K,2
601,KYAN,boy,4,K,0
602,RUEBEN,boy,6,R,2
603,ZIGGY,boy,5,Z,3
604,CASPAR,boy,6,C,2
605,ISMAEL,boy,6,I,2
606,KADEN,boy,5,K,3
607,KAMIL,boy,5,K,3
608,KODY,boy,4,K,0
609,OMER,boy,4,O,0
610,ISHAAN,boy,6,I,2
611,JUDAH,boy,5,J,3
612,MAVERICK,boy,8,M,1
613,RAYAAN,boy,6,R,2
614,REAGAN,boy,6,R,2
615,REHAN,boy,5,R,3
616,TYMOTEUSZ,boy,9,T,1
617,VIHAAN,boy,6,V,2
618,WILF,boy,4,W,0
619,AMOS,boy,4,A,0
620,ARJAN,boy,5,A,3
621,HUBERT,boy,6,H,2
622,KEYAAN,boy,6,K,2
623,KING,boy,4,K,0
624,KYE,boy,3,K,0
625,MATAS,boy,5,M,3
626,SEB,boy,3,S,0
627,SHANE,boy,5,S,3
628,TALHA,boy,5,T,3
629,AYYUB,boy,5,A,3
630,DORIAN,boy,6,D,2
631,EDMUND,boy,6,E,2
632,IANIS,boy,5,I,3
633,IMRAN,boy,5,I,3
634,ISHAQ,boy,5,I,3
635,ZAID,boy,4,Z,0
636,EISA,boy,4,E,0
637,EMIR,boy,4,E,0
638,GUY,boy,3,G,0
639,LEE,boy,3,L,0
640,NEO,boy,3,N,0
641,SULAYMAN,boy,8,S,1
642,TUDOR,boy,5,T,3
643,HADI,boy,4,H,0
644,JAI,boy,3,J,0
645,JAXX,boy,4,J,0
646,ARNIE,boy,5,A,3
647,CIARAN,boy,6,C,2
648,GIOVANNI,boy,8,G,1
649,IVOR,boy,4,I,0
650,MCKENZIE,boy,8,M,1
651,MIKAEL,boy,6,M,2
652,ORLANDO,boy,7,O,2
653,QASIM,boy,5,Q,3
654,SAHIB,boy,5,S,3
655,USMAN,boy,5,U,3
656,WINSTON,boy,7,W,2
657,ADYAN,boy,5,A,3
658,HARLEN,boy,6,H,2
659,KOBIE,boy,5,K,3
660,MONTAGUE,boy,8,M,1
661,ROGAN,boy,5,R,3
662,SULTAN,boy,6,S,2
663,VEER,boy,4,V,0
664,ZAKARIYYA,boy,9,Z,1
665,ASA,boy,3,A,0
666,BEAUDEN,boy,7,B,2
667,FRANCESCO,boy,9,F,1
668,FRAZER,boy,6,F,2
669,JOVAN,boy,5,J,3
670,KYLAN,boy,5,K,3
671,NATHANAEL,boy,9,N,1
672,SHAUN,boy,5,S,3
673,ZANDER,boy,6,Z,2
674,ZAYNE,boy,5,Z,3
675,CLAY,boy,4,C,0
676,CURTIS,boy,6,C,2
677,DEACON,boy,6,D,2
678,DEAN,boy,4,D,0
679,DEVON,boy,5,D,3
680,JAMAL,boy,5,J,3
681,KAREEM,boy,6,K,2
682,KARIM,boy,5,K,3
683,LORCAN,boy,6,L,2
684,OISIN,boy,5,O,3
685,ROBBIE,boy,6,R,2
686,SAIF,boy,4,S,0
687,VIVAAN,boy,6,V,2
688,VLAD,boy,4,V,0
689,ZAKI,boy,4,Z,0
690,CARLOS,boy,6,C,2
691,EDGAR,boy,5,E,3
692,EMERSON,boy,7,E,2
693,EMILIO,boy,6,E,2
694,HARLOW,boy,6,H,2
695,HERBERT,boy,7,H,2
696,JEREMY,boy,6,J,2
697,OSMAN,boy,5,O,3
698,SOREN,boy,5,S,3
699,THEODOR,boy,7,T,2
700,VALENTINO,boy,9,V,1
701,YANIS,boy,5,Y,3
702,BOWIE,boy,5,B,3
703,ELIO,boy,4,E,0
704,FIONN,boy,5,F,3
705,JAYCE,boy,5,J,3
706,KENNY,boy,5,K,3
707,OZZY,boy,4,O,0
708,RAEES,boy,5,R,3
709,ROCKY,boy,5,R,3
710,TIAGO,boy,5,T,3
711,ALEC,boy,4,A,0
712,ANTONY,boy,6,A,2
713,DREW,boy,4,D,0
714,EMANUEL,boy,7,E,2
715,FORREST,boy,7,F,2
716,LOWEN,boy,5,L,3
717,PIOTR,boy,5,P,3
718,RIAN,boy,4,R,0
719,TOMMIE,boy,6,T,2
720,VLADIMIR,boy,8,V,1
721,ABBAS,boy,5,A,3
722,BORIS,boy,5,B,3
723,EREN,boy,4,E,0
724,JAYLEN,boy,6,J,2
725,MAHIR,boy,5,M,3
726,PATRYK,boy,6,P,2
727,SAFWAN,boy,6,S,2
728,SANTINO,boy,7,S,2
729,VIKTOR,boy,6,V,2
730,WILSON,boy,6,W,2
731,ARONAS,boy,6,A,2
732,DAMIEN,boy,6,D,2
733,EMIL,boy,4,E,0
734,ERYK,boy,4,E,0
735,HARPER,boy,6,H,2
736,HERBIE,boy,6,H,2
737,JORGE,boy,5,J,3
738,KEANU,boy,5,K,3
739,KLAY,boy,4,K,0
740,SUBHAN,boy,6,S,2
741,BROGAN,boy,6,B,2
742,CADE,boy,4,C,0
743,COEN,boy,4,C,0
744,DION,boy,4,D,0
745,LLOYD,boy,5,L,3
746,MAXIMILLIAN,boy,11,M,4
747,PRESLEY,boy,7,P,2
748,SAUL,boy,4,S,0
749,ANDY,boy,4,A,0
750,ARAN,boy,4,A,0
751,ARIAN,boy,5,A,3
752,ARTUR,boy,5,A,3
753,AUBREY,boy,6,A,2
754,CAIN,boy,4,C,0
755,DENNY,boy,5,D,3
756,GETHIN,boy,6,G,2
757,GRAY,boy,4,G,0
758,KIYAN,boy,5,K,3
759,LAURIE,boy,6,L,2
760,RAFI,boy,4,R,0
761,TOMMY-LEE,boy,9,T,1
762,WOJCIECH,boy,8,W,1
763,ADDISON,boy,7,A,2
764,AMMAR,boy,5,A,3
765,ARLEN,boy,5,A,3
766,FREDRICK,boy,8,F,1
767,GENE,boy,4,G,0
768,KABIR,boy,5,K,3
769,KEATON,boy,6,K,2
770,KYRAN,boy,5,K,3
771,LEYTON,boy,6,L,2
772,MAHDI,boy,5,M,3
773,MITCHELL,boy,8,M,1
774,SAMIR,boy,5,S,3
775,SHAYAN,boy,6,S,2
776,WADE,boy,4,W,0
777,ABDULRAHMAN,boy,11,A,4
778,GIDEON,boy,6,G,2
779,KAYLAN,boy,6,K,2
780,KYRIE,boy,5,K,3
781,RAUL,boy,4,R,0
782,ROSCOE,boy,6,R,2
783,ROSS,boy,4,R,0
784,SIMEON,boy,6,S,2
785,ZACKARY,boy,7,Z,2
786,AHAD,boy,4,A,0
787,AXL,boy,3,A,0
788,DHRUV,boy,5,D,3
789,FRANCO,boy,6,F,2
790,JARED,boy,5,J,3
791,KARSON,boy,6,K,2
792,LUCIEN,boy,6,L,2
793,MILOSZ,boy,6,M,2
794,RAJA,boy,4,R,0
795,RANVEER,boy,7,R,2
796,RENZO,boy,5,R,3
797,TADHG,boy,5,T,3
798,TAHA,boy,4,T,0
799,WESLEY,boy,6,W,2
800,YOUSSEF,boy,7,Y,2
801,ARNOLD,boy,6,A,2
802,AYOUB,boy,5,A,3
803,CYRUS,boy,5,C,3
804,KENZIE,boy,6,K,2
805,KIYAAN,boy,6,K,2
806,MAISON,boy,6,M,2
807,PABLO,boy,5,P,3
808,SALMAN,boy,6,S,2
809,WILL,boy,4,W,0
810,AMAR,boy,4,A,0
811,AMEER,boy,5,A,3
812,CHAIM,boy,5,C,3
813,ELWOOD,boy,6,E,2
814,EMRYS,boy,5,E,3
815,LUCCA,boy,5,L,3
816,MEHMET,boy,6,M,2
817,RYKER,boy,5,R,3
818,RYLEE,boy,5,R,3
819,SILAS,boy,5,S,3
820,YASIR,boy,5,Y,3
821,ARAS,boy,4,A,0
822,BRYN,boy,4,B,0
823,CASSIAN,boy,7,C,2
824,DANYAL,boy,6,D,2
825,DOMINYKAS,boy,9,D,1
